title,listing_url,area_raw,status,floor,transaction,furnishing,facing,bhk,locality,property_id,scraped_timestamp,price_raw
"3 BHK Flat  for Sale in Sector 93, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1350-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-93-in-Noida&id=4d423237313534333139,1350 sqft,Ready to Move,4 out of 20,Resale,Semi-Furnished,,3,"Sector 93, Noida Express Way, Noida",4d423237313534333139,2025-10-15T18:06:32.155324+00:00,₹61 Lac
"3 BHK Flat  for Sale in Faridabad Noida Ghaziabad Expressway, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-FNG-Expressway-in-Noida&id=4d423237343236333931,1500 sqft,,16 out of 18,Resale,Semi-Furnished,,3,"Faridabad Noida Ghaziabad Expressway, Noida",4d423237343236333931,2025-10-15T18:06:32.156636+00:00,₹1.60 Cr
"3 BHK Flat  for Sale in Sector 74, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1945-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-74-in-Noida&id=4d423736313036353133,1945 sqft,Ready to Move,8 out of 22,Resale,Semi-Furnished,North - East,3,"Sector 74, Noida",4d423736313036353133,2025-10-15T18:06:32.158290+00:00,₹2.10 Cr
"3 BHK Flat  for Sale in Sector 43, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2563-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-43-in-Noida&id=4d423830373332353639,2563 sqft,,22 out of 34,Resale,Furnished,East,3,"Sector 43, Noida",4d423830373332353639,2025-10-15T18:06:32.159524+00:00,₹5.85 Cr
"1 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831313238343531,700 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,,1,"Noida Extension, Noida",4d423831313238343531,2025-10-15T18:06:32.160627+00:00,₹20 Lac
"1 BHK Flat  for Sale in Sector 15, Noida sector 15 Metro, Noida",https://www.magicbricks.com/propertyDetails/1-BHK-37-Sq-m-Multistorey-Apartment-FOR-Sale-Sector-15-in-Noida&id=4d423738323036383331,37 sqm,Ready to Move,Ground out of 3,Resale,Semi-Furnished,,1,"Sector 15, Noida sector 15 Metro, Noida",4d423738323036383331,2025-10-15T18:06:32.161750+00:00,₹40 Lac
"5 BHK  House for Sale in Khora Colony, Sector 62A Noida",https://www.magicbricks.com/propertyDetails/5-BHK-2000-Sq-ft-Residential-House-FOR-Sale-Khora-Colony-in-Noida&id=4d423631383638343137,2000 sqft,Ready to Move,Ground out of 2,Resale,Unfurnished,,5,"Khora Colony, Sector 62A Noida",4d423631383638343137,2025-10-15T18:06:32.162852+00:00,₹70 Lac
"4 BHK Flat  for Sale in Sector 119, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3025-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-119-in-Noida&id=4d423739393333343233,3025 sqft,Ready to Move,7 out of 25,Resale,Furnished,,4,"Sector 119, Pusta Road, Noida",4d423739393333343233,2025-10-15T18:06:32.163993+00:00,₹3.25 Cr
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423738333234363233,1675 sqft,Ready to Move,18 out of 23,Resale,Semi-Furnished,,3,"Sector 150, Pusta Road, Noida",4d423738333234363233,2025-10-15T18:06:32.165224+00:00,₹1.95 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1295-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739393336373535,1295 sqft,Ready to Move,12 out of 20,Resale,Semi-Furnished,,3,"Noida Extension, Noida",4d423739393336373535,2025-10-15T18:06:32.166683+00:00,₹1.25 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1980-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423735343833343339,1880 sqft,Ready to Move,9 out of 18,Resale,Furnished,North - East,3,"Noida Extension, Noida",4d423735343833343339,2025-10-15T18:06:32.168096+00:00,₹2 Cr
"3 BHK Flat  for Sale in Sector 168, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1528-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-168-in-Noida&id=4d423735333133363737,1528 sqft,Ready to Move,16 out of 28,Resale,Furnished,East,3,"Sector 168, Noida Express Way, Noida",4d423735333133363737,2025-10-15T18:06:32.170456+00:00,₹1.10 Cr
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2440-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423830323231353435,2440 sqft,,19 out of 26,Resale,Semi-Furnished,,3,"Sector 150, Pusta Road, Noida",4d423830323231353435,2025-10-15T18:06:32.172908+00:00,₹4.25 Cr
"4 BHK Flat  for Sale in Asgerpur, Sector 131, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Asgerpur-in-Noida&id=4d423531393634353531,2250 sqft,Ready to Move,4 out of 4,Resale,Unfurnished,,4,"Asgerpur, Sector 131, Noida Express Way, Noida",4d423531393634353531,2025-10-15T18:06:32.174533+00:00,₹70 Lac
"3 BHK Flat  for Sale in Sector 78, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1550-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-78-in-Noida&id=4d423332353733303031,1550 sqft,Ready to Move,19 out of 22,Resale,Unfurnished,,3,"Sector 78, Noida",4d423332353733303031,2025-10-15T18:06:32.176137+00:00,₹90 Lac
"3 BHK Flat  for Sale in Sector 168, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1528-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-168-in-Noida&id=4d423830393834313935,1528 sqft,Ready to Move,23 out of 24,New Property,Semi-Furnished,West,3,"Sector 168, Noida Express Way, Noida",4d423830393834313935,2025-10-15T18:06:32.177804+00:00,₹1.25 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1520-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423830323232383539,1200 sqft,Ready to Move,17 out of 22,Resale,Unfurnished,East,3,"Noida Extension, Noida",4d423830323232383539,2025-10-15T18:06:32.179162+00:00,₹1.25 Cr
"1 BHK Flat  for Sale in Sector 52, Noida",https://www.magicbricks.com/propertyDetails/1-BHK-660-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-52-in-Noida&id=4d423737343739343631,550 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,North - East,1,"Sector 52, Noida",4d423737343739343631,2025-10-15T18:06:32.180664+00:00,₹52 Lac
"3 BHK Flat  for Sale in Sector 49, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-49-in-Noida&id=4d423830373636303537,1000 sqft,Ready to Move,1 out of 3,Resale,Unfurnished,South,3,"Sector 49, Dadri Road, Noida",4d423830373636303537,2025-10-15T18:06:32.182239+00:00,₹75 Lac
"3 BHK Flat  for Sale in Sector 120, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1316-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-120-in-Noida&id=4d423736323933323335,1316 sqft,Ready to Move,7 out of 25,Resale,Semi-Furnished,,3,"Sector 120, Noida",4d423736323933323335,2025-10-15T18:06:32.183631+00:00,₹1.30 Cr
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1550-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423730383632373035,894 sqft,Ready to Move,2 out of 31,Resale,Semi-Furnished,North - West,3,"Sector 150, Pusta Road, Noida",4d423730383632373035,2025-10-15T18:06:32.185220+00:00,₹1.55 Cr
"3 BHK Flat  for Sale in Sector 74, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1230-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-74-in-Noida&id=4d423830323239373731,1000 sqft,Ready to Move,5 out of 19,Resale,Semi-Furnished,East,3,"Sector 74, Noida",4d423830323239373731,2025-10-15T18:06:32.187251+00:00,₹1.50 Cr
"1 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/1-BHK-510-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423735323838333833,410 sqft,Ready to Move,21 out of 25,Resale,Furnished,East,1,"Noida Extension, Noida",4d423735323838333833,2025-10-15T18:06:32.189415+00:00,₹38 Lac
"4 BHK Flat  for Sale in Sector 131, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-1930-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-131-in-Noida&id=4d423830373632383239,1930 sqft,,17 out of 28,Resale,Unfurnished,,4,"Sector 131, Noida Express Way, Noida",4d423830373632383239,2025-10-15T18:06:41.992191+00:00,₹1.60 Cr
"3 BHK Flat  for Sale in Salarpur Khadar, Sector 102, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Sale-Salarpur-Khadar-in-Noida&id=4d423733323430383239,750 sqft,Ready to Move,1 out of 5,Resale,Unfurnished,East,3,"Salarpur Khadar, Sector 102, Dadri Road, Noida",4d423733323430383239,2025-10-15T18:06:41.993685+00:00,₹25 Lac
"3 BHK Flat  for Sale in Sector 77, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1410-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-77-in-Noida&id=4d423739393031313639,1410 sqft,Ready to Move,6 out of 14,Resale,Semi-Furnished,,3,"Sector 77, Noida",4d423739393031313639,2025-10-15T18:06:41.994873+00:00,₹1.40 Cr
"3 BHK Flat  for Sale in Sector 76, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1682-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-76-in-Noida&id=4d423736323535303633,1682 sqft,Ready to Move,5 out of 17,Resale,Unfurnished,,3,"Sector 76, Noida",4d423736323535303633,2025-10-15T18:06:41.996346+00:00,₹1.50 Cr
"3 BHK Flat  for Sale in Sector 137, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1715-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-137-in-Noida&id=4d423739393034333737,1715 sqft,Ready to Move,19 out of 19,Resale,Semi-Furnished,,3,"Sector 137, Noida Express Way, Noida",4d423739393034333737,2025-10-15T18:06:41.997639+00:00,₹2.45 Cr
"3 BHK Flat  for Sale in Sector 43, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2088-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-43-in-Noida&id=4d423830343933363033,1600 sqft,,18 out of 27,Resale,Furnished,North,3,"Sector 43, Noida",4d423830343933363033,2025-10-15T18:06:41.999008+00:00,₹4.80 Cr
3 BHK Flat  for Sale in  Noida,https://www.magicbricks.com/propertyDetails/3-BHK-1295-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Noida&id=4d423330353130383339,1295 sqft,,17 out of 20,Resale,Unfurnished,,3,Noida,4d423330353130383339,2025-10-15T18:06:42.000139+00:00,₹50 Lac
"4 BHK Flat  for Sale in Sector 146, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-302-Sq-m-Multistorey-Apartment-FOR-Sale-Sector-146-in-Noida&id=4d423730373237303539,159 sqm,Ready to Move,14 out of 34,Resale,Semi-Furnished,,4,"Sector 146, Noida",4d423730373237303539,2025-10-15T18:06:42.001669+00:00,₹5.60 Cr
